Frequency of observations in the selected location(s).:
Number of taxa:	103

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Oriental Reed Warbler (Acrocephalus orientalis)	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0.03	0	0	0	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Barn Swallow (Hirundo rustica)	0	0	0	0	0	0	0	0	0	0	0	0.03	0.075	0.075	0.25	0.15	0.075	0.8	0.25	0.35	0.35	0.25	0.8	0.35	0.25	0.5	0.35	0.5	0.5	0.5	0.15	0	0	0	0	0	0	0	0	0	0	0.075	0	0	0	0	0	0	
Asian House-Martin (Delichon dasypus)	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0.03	0	0.03	0.15	0	0.075	0.15	0.25	0	0.15	0	0	0	0	0.5	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Eastern Red-rumped Swallow (Cecropis daurica)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Brown-eared Bulbul (Hypsipetes amaurotis)	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.5	0.35	0.35	0.25	0.5	0.35	0.8	0.25	0.25	0.8	0.8	0.5	0.35	0.15	0.25	0.5	0.5	0.15	0.8	0.075	0.5	0.8	0.5	0.5	0.8	0.8	0.8	0.8	0.5	0.8	0.8	0.8	0.8	0.8	0.5	
Japanese Bush Warbler (Horornis diphone)	0.03	0.15	0.075	0.075	0.15	0.15	0.03	0.075	0.15	0.075	0.15	0.075	0.03	0.03	0	0	0	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0.03	0.075	0.15	0.0015	0.075	
Long-tailed Tit (Aegithalos caudatus)	0	0	0.15	0.15	0.075	0.075	0.03	0.03	0.25	0.15	0	0.15	0.03	0.075	0.075	0.075	0	0.075	0	0.075	0	0	0.35	0	0.075	0	0	0	0.25	0	0	0	0	0.25	0	0	0.15	0.075	0	0.15	0	0	0.15	0.075	0	0.075	0	0.15	
Warbling White-eye (Zosterops japonicus)	0.5	0.5	0.25	0.35	0.35	0.35	0.35	0.35	0.5	0.35	0.8	0.25	0.03	0.03	0.03	0.03	0	0.15	0.075	0.15	0	0	0.15	0.075	0	0	0	0	0.25	0	0	0.15	0	0.25	0	0.0015	0	0.075	0	0.075	0.075	0.15	0.15	0.15	0.15	0.35	0.5	0.25	
Chinese Hwamei (Garrulax canorus)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0	0	0	0	0.075	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Goldcrest (Regulus regulus)	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Eurasian Wren (Troglodytes troglodytes)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Chestnut-cheeked Starling (Agropsar philippensis)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
White-cheeked Starling (Spodiopsar cineraceus)	0.5	0.8	0.5	0.8	0.8	0.8	0.8	0.5	0.5	0.5	0.8	0.5	0.8	0.8	0.5	0.8	0.5	0.8	0.5	0.8	0.8	0.8	0.8	0.8	0.5	0.5	0.8	0.25	0.0015	0	0	0.5	0.5	0.25	0.8	0.5	0.15	0.35	0.15	0.15	0	0.15	0	0.15	0.25	0.075	0.5	0.25	
Crested Myna (Acridotheres cristatellus)	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Pale Thrush (Turdus pallidus)	0.075	0.15	0.03	0	0.03	0.03	0	0.075	0.15	0.075	0.03	0	0	0	0	0	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	0	0	0	
Brown-headed Thrush (Turdus chrysolaus)	0.15	0.075	0.0015	0.075	0	0	0	0.03	0.075	0.03	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	
Dusky Thrush (Turdus eunomus)	0.25	0.25	0.15	0.15	0.25	0.15	0.25	0.15	0.075	0.15	0.15	0	0.03	0.03	0.03	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0.03	0.075	0	0.15	0.03	
Japanese Robin (Larvivora akahige)	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Narcissus Flycatcher (Ficedula narcissina)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	
