Frequency of observations in the selected location(s).:
Number of taxa:	98

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
White-cheeked Starling (Spodiopsar cineraceus)	0.25	0.8	0.5	0.5	0.5	0.35	0.8	0.8	0.8	0.5	0.5	0.5	0.5	0.8	0.8	0.8	0.5	0.5	0.8	0.5	0.8	0.8	0.5	0.8	0.8	0.15	0.8	0.8	0.35	0	0	0.15	0.8	0.8	0.8	0.35	0.15	0.35	0.15	0.075	0.075	0.15	0.25	0	0.25	0	0.075	0.5	
Common Myna (Acridotheres tristis)	0	0	0	0	0	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Crested Myna (Acridotheres cristatellus)	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Japanese Thrush (Turdus cardis)	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Pale Thrush (Turdus pallidus)	0.15	0.25	0.0015	0.15	0.075	0	0.15	0.25	0.25	0	0.15	0.075	0.03	0	0.15	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	
Brown-headed Thrush (Turdus chrysolaus)	0.15	0.25	0.0015	0.15	0.075	0	0.15	0.15	0.15	0	0.075	0	0	0.075	0.075	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0.25	0.15	0.075	
Dusky Thrush (Turdus eunomus)	0.15	0.5	0.15	0.075	0.25	0.0015	0.8	0.35	0.5	0.35	0.25	0.15	0.075	0.25	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0.0015	0.075	0.5	0	0.25	
Asian Brown Flycatcher (Muscicapa dauurica)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Japanese Robin (Larvivora akahige)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	
Red-flanked Bluetail (Tarsiger cyanurus)	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0	0	0.075	
Narcissus Flycatcher (Ficedula narcissina)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0	0	0	0	0	0	0	
Daurian Redstart (Phoenicurus auroreus)	0.075	0	0.25	0.15	0.075	0	0	0.25	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0.075	0	0	0	0.15	0	0.0015	0	0.075	
Japanese Waxwing (Bombycilla japonica)	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Eurasian Tree Sparrow (Passer montanus)	0.8	0.25	0.8	0.5	0.8	0.25	0.8	0.8	0.8	0.5	0.8	0.8	0.8	0.8	0.8	0.5	0.8	0.8	0.8	0.8	0.25	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.5	0.8	0.8	0.8	0.8	0.8	0.8	0.5	0.8	0.5	0.5	0.35	0.8	0.5	0.8	0.5	0.8	0.35	0.35	
Gray Wagtail (Motacilla cinerea)	0.15	0	0.15	0.03	0.075	0	0	0.25	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	
Japanese Wagtail (Motacilla grandis)	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0.0015	0	0	0	0	0	0.15	0	0	0	0	0	0.15	
